date,max_temp,min_temp
2026-07-29,25.7,18.1
2026-07-30,28.2,17.7
2026-07-31,28.9,19.0
2026-08-01,28.9,19.5
2026-08-02,28.1,19.0
2026-08-03,26.8,19.0
2026-08-04,26.1,17.9
